"","state","state.PctIlleg","state.racepctblack","state.PctPopUnderPov","state.pupassist","state.english","state.plumbing","state.density","state.drug","state.income","state.popdens"
"16","24",0.48,0.43,0.21,0.163333333333333,0.09,0.0833333333333333,0.416666666666667,0,0.456666666666667,0.416666666666667
"17","25",0.161276595744681,0.0393617021276596,0.165106382978723,0.282553191489362,0.130851063829787,0.204893617021277,0.20531914893617,0.107446808510638,0.510851063829787,0.20531914893617
"18","27",0.275,0.02,0.225,0.17,0.04,0.065,0.275,0,0.305,0.275
"19","28",0.576363636363636,0.659090909090909,0.546363636363636,0.521818181818182,0.0272727272727273,0.36,0.121818181818182,0.0372727272727273,0.222727272727273,0.121818181818182
"20","29",0.140714285714286,0.147142857142857,0.222857142857143,0.195,0.03,0.12,0.235,0,0.381428571428571,0.235
"21","32",0.155,0.035,0.23,0.135,0.115,0.215,0.11,0.26,0.325,0.11
"22","33",0.138888888888889,0.0188888888888889,0.193333333333333,0.18,0.0488888888888889,0.228888888888889,0.0511111111111111,0,0.431111111111111,0.0511111111111111
"23","34",0.229886363636364,0.177045454545455,0.149886363636364,0.204318181818182,0.200454545454545,0.236590909090909,0.331704545454545,0.11,0.561818181818182,0.331704545454545
"24","36",0.415714285714286,0.252380952380952,0.39,0.43,0.154285714285714,0.24047619047619,0.410952380952381,0.144285714285714,0.317619047619048,0.410952380952381
"25","37",0.438,0.467,0.435,0.3495,0.0445,0.296,0.145,0.0755,0.1915,0.145
"26","38",0.116,0.004,0.316,0.256,0.03,0.176,0.178,0,0.23,0.178
"27","39",0.227954545454545,0.185909090909091,0.322727272727273,0.392045454545455,0.0381818181818182,0.214090909090909,0.224545454545455,0.0490909090909091,0.279545454545455,0.224545454545455
"28","40",0.153529411764706,0.118823529411765,0.362941176470588,0.29,0.0364705882352941,0.285294117647059,0.11,0.0741176470588235,0.238235294117647,0.11
"29","41",0.155555555555556,0.0133333333333333,0.301111111111111,0.27,0.0722222222222222,0.264444444444444,0.257777777777778,0.111111111111111,0.262222222222222,0.257777777777778
"30","42",0.20125,0.1475,0.2246875,0.288125,0.0484375,0.2246875,0.255,0.038125,0.3815625,0.255
"31","44",0.136363636363636,0.0327272727272727,0.159090909090909,0.262727272727273,0.137272727272727,0.31,0.21,0.124545454545455,0.400909090909091,0.21
"32","45",0.526,0.534,0.43,0.377,0.024,0.225,0.147,0.125,0.226,0.147
"33","46",0.15,0,0.305,0.24,0.02,0.12,0.095,0,0.205,0.095
"34","47",0.228888888888889,0.222222222222222,0.385,0.383888888888889,0.0294444444444444,0.223888888888889,0.107222222222222,0.0555555555555556,0.307777777777778,0.107222222222222
"35","48",0.205873015873016,0.205238095238095,0.467777777777778,0.343968253968254,0.28,0.404761904761905,0.156031746031746,0.13047619047619,0.256349206349206,0.156031746031746
"36","49",0.077,0.009,0.264,0.253,0.053,0.102,0.177,0,0.312,0.177
"37","50",0.235,0.015,0.295,0.21,0.04,0.145,0.185,0.115,0.37,0.185
"38","51",0.314,0.316666666666667,0.317333333333333,0.214666666666667,0.102666666666667,0.216,0.206,0.208,0.380666666666667,0.206
"39","53",0.228333333333333,0.0622222222222222,0.370555555555556,0.418888888888889,0.141666666666667,0.284444444444444,0.201111111111111,0.129444444444444,0.279444444444444,0.201111111111111
"40","54",0.171666666666667,0.176666666666667,0.403333333333333,0.375,0.0283333333333333,0.275,0.18,0,0.188333333333333,0.18
"41","55",0.134,0.022,0.1968,0.26,0.0452,0.1828,0.21,0.0892,0.3396,0.21
"42","56",0.1,0.0266666666666667,0.236666666666667,0.26,0.0566666666666667,0.196666666666667,0.133333333333333,0,0.32,0.133333333333333
